band_name,node_count,edge_count,ave_clustering,central_bands
Led Zeppelin,366,443,0.08938594166969625,"['King Crimson', 'Led Zeppelin', 'The Black Crowes', 'The Honeydrippers', 'All-Stars', 'Them Crooked Vultures', 'Alison Krauss', 'The Firm', 'R.E.M.', 'The Yardbirds']"
Tame Impala,96,120,0.19404156604133915,"['Tame Impala', 'The Last Shadow Puppets', 'Mark Ronson', 'Kanye West', 'Arctic Monkeys', 'Travis Scott', 'Rihanna', 'Lady Gaga', 'Alexandra Savior', 'Mini Mansions']"
The Brian Jonestown Massacre,51,51,0.0,"['The Church', 'The Wild Swans', 'The Brian Jonestown Massacre', 'The Waterboys', 'The Triffids']"
Dr. Dre,162,237,0.2020162953392878,"['Xzibit', 'Dr. Dre', 'Snoop Dogg', 'Eminem', 'The Game', 'N.W.A', 'Nas', 'Kendrick Lamar', 'Anderson Paak', '50 Cent']"
Kraftwerk,103,148,0.3140980748943679,"['Kraftwerk', 'Harmonia', 'Cluster', 'Electronic', 'The Anthony String Group', 'Andy McCluskey', 'Talking Heads', 'Neu!', 'Organisation', 'Brian Eno']"
My Bloody Valentine,67,78,0.1968641640283431,"['My Bloody Valentine', 'Primal Scream', 'Dinosaur Jr', 'Thurston Moore', 'Snowpony', 'Mazzy Star', 'Patti Smith', 'Hope Sandoval & the Warm Inventions', 'Sonic Youth', 'The Complex']"
TV on the Radio,119,138,0.08446599418988375,"['TV on the Radio', ""Jane's Addiction"", 'Nevermen', 'Run the Jewels', 'Massive Attack', 'Yeah Yeah Yeahs', 'Lee Scratch Perry']"
Depeche Mode,31,31,0.07526881720430106,"['Depeche Mode', 'Client', 'All Hail the Silence', 'Yazoo', 'Recoil']"
Pavement,144,167,0.10410091976249142,"['Sonic Youth', 'Pavement', 'Silver Jews', 'Stephen Malkmus and the Jicks', 'Free Kitten', 'Preston School of Industry', 'The Jicks', 'Wilco', 'On Fillmore', 'Loose Fur']"
Björk,81,144,0.30851168672895063,"['Dirty Projectors', 'Death Grips', 'Kukl', 'Anohni', 'Björk Guðmundsdóttir & tríó Guðmundar Ingólfssonar', 'Björk', 'Tappi Tíkarrass', 'Arca', 'Brian Chippendale', 'Mark Bell']"
Bon Iver,149,211,0.21734035473672267,"['Bon Iver', 'Eminem', 'Kanye West', 'Jack White', 'Arcade Fire', 'Gayngs', 'St. Vincent', 'Bell Orchestre', 'The National', 'P.O.S']"
Bruce Springsteen,93,165,0.34182780888663244,"['Warren Zevon', 'E Street Band', 'Bruce Springsteen', '& the Asbury Jukes', 'Tom Morello', 'Miami Horns', 'Neil Young', 'Jackson Browne', 'Stevie Nicks', 'Steel Mill']"
Beck,67,83,0.19640434192672998,"['Beck', 'Jack White', 'Devendra Banhart', 'Thurston Moore', 'The Flaming Lips', 'Flume', 'Charlotte Gainsbourg', 'Lady Gaga', 'Nate Ruess', 'Boards of Canada']"
The Stone Roses,148,221,0.23836412168954868,"['The Stone Roses', 'Asia', 'The Smiths', 'Primal Scream', 'Steven Wilson', 'Freebass', 'Paul Weller', 'Orchestral Manoeuvres in the Dark', 'The Colourfield', 'The Seahorses']"
Fleetwood Mac,281,490,0.2665945693009858,"['Fleetwood Mac', 'Delaney & Bonnie', 'Faith Hill', 'Jackson Browne', 'Tom Petty and the Heartbreakers', 'The Idle Race', 'David A. Stewart', 'Crowded House', 'Dolly Parton', 'Joe Walsh']"
Nirvana,300,392,0.1655823413122661,"['Nirvana', 'Queens of the Stone Age', 'Killing Joke', 'Melvins', 'Foo Fighters', 'Tom Petty and the Heartbreakers', 'Juliette and the Licks', 'No WTO Combo', 'Sky Cries Mary', 'Earth']"
Queens of the Stone Age,638,1268,0.27673534947811956,"['Queens of the Stone Age', 'A Perfect Circle', 'Killing Joke', 'The Wondergirls', 'Foo Fighters', 'Tom Petty and the Heartbreakers', 'California Breed', 'Son of Sam', 'Nine Inch Nails', 'Unkle']"
Sonic Youth,278,369,0.17966364635680349,"['Sonic Youth', 'Wilco', 'Nick Cave and the Bad Seeds', 'The Cribs', 'Swans', 'Chelsea Light Moving', 'Laurie Anderson', 'Phew', 'Twilight', 'Cat Power']"
